input_row,standard_postcode,TOT_PERS1115jul,OCC_HH1115jul,X_BNG1115jul,Y_BNG1115jul,input_postcode 
406,SE270DZ ,28.0,15.0,532102,171499,SE27 0DZ
408,SE240AY ,49.0,17.0,532250,175438,SE24 0AY
409,SW8 1EJ ,10.0,5.0,530470,177319,SW8 1EJ
410,SW2 2RL ,25.0,15.0,530828,173684,SW2 2RL
411,SW9 0TQ ,21.0,7.0,531080,175926,SW9 0TQ
412,SE193NY ,84.0,32.0,532307,171017,SE19 3NY
413,SE115QY ,40.0,18.0,530671,178037,SE11 5QY
415,SW120AB ,13.0,0.0,529156,173718,SW12 0AB
416,SE115JA ,32.0,19.0,530714,177918,SE11 5JA
417,SW120LF ,79.0,29.0,529692,173422,SW12 0LF
418,SW162ET ,81.0,35.0,530428,171144,SW16 2ET
422,SW120AB ,13.0,0.0,529156,173718,SW12 0AB
423,SW162HY ,3.0,1.0,530893,171230,SW16 2HY
426,SE218LX ,36.0,10.0,532355,173672,SE21 8LX
427,SE218HP ,121.0,58.0,532537,173015,SE21 8HP
428,SE218HZ ,98.0,52.0,532131,172839,SE21 8HZ
429,SW161AW ,22.0,7.0,529561,172290,SW16 1AW
430,SW120LF ,79.0,29.0,529692,173422,SW12 0LF
431,SW9 9QG ,55.0,21.0,530774,175898,SW9 9QG
432,SW2 2EF ,5.0,3.0,530976,173788,SW2 2EF
433,SE8 5NH ,34.0,12.0,536566,178023,SE8 5NH
434,SE4 2QQ ,3.0,1.0,536055,175105,SE4 2QQ
435,SE264AQ ,60.0,23.0,536311,172014,SE26 4AQ
436,SE6 3LD ,68.0,23.0,537423,172376,SE6 3LD
437,SE120NB ,65.0,25.0,539962,173639,SE12 0NB
438,SE4 2BS ,137.0,61.0,536426,174921,SE4 2BS
439,SE146DG ,55.0,21.0,536358,177160,SE14 6DG
440,SE120LF ,76.0,29.0,540584,172858,SE12 0LF
441,SE231AS ,67.0,33.0,536015,173487,SE23 1AS
444,SE145LY ,59.0,23.0,535646,176406,SE14 5LY
445,SE6 3EN ,55.0,15.0,537472,171810,SE6 3EN
447,SE4 1HQ ,117.0,37.0,537093,174711,SE4 1HQ
448,SE8 5LW ,46.0,18.0,536951,177643,SE8 5LW
450,SE136EH ,23.0,10.0,538718,174338,SE13 6EH
451,SE6 4TP ,78.0,27.0,537495,173956,SE6 4TP
452,SE4 2DY ,65.0,30.0,536199,175735,SE4 2DY
453,SE266BB ,26.0,14.0,534761,172179,SE26 6BB
455,BR1 5EA ,56.0,27.0,540255,171676,BR1 5EA
